key,title,description,issue_type,priority,status,created,updated,resolutiondate,anomaly_class,ml_text,project
KNOX-3354,Remove index suffix from actor groups header for roles in AbstractAuthResource,"Update *AbstractAuthResource* to use the raw *authHeaderActorGroupsPrefix* for role headers instead of the indexed format (e.g., Prefix-1). Groups will continue to use the indexed format for backward compatibility.",Bug,Major,Open,2026-06-18T09:03:31.000+0000,2026-06-18T09:03:31.000+0000,Not resolved,1,remove index suffix from actor groups header for roles in abstractauthresource update abstractauthresource to use the raw authheaderactorgroupsprefix for role headers instead of the indexed format e g prefix 1 groups will continue to use the indexed format for backward compatibility bug major open knox,KNOX
SPARK-57529,Fix possible ORC reader leak in OrcPartitionReaderFactory,,Improvement,Minor,Open,2026-06-18T08:53:13.000+0000,2026-06-18T08:53:13.000+0000,Not resolved,2,fix possible orc reader leak in orcpartitionreaderfactory improvement minor open spark,SPARK
ATLAS-5327,Perf logging broken due to wrong logger name in atlas-logback.xml,,Bug,Major,Open,2026-06-18T08:45:24.000+0000,2026-06-18T08:45:34.000+0000,Not resolved,1,perf logging broken due to wrong logger name in atlas logback xml bug major open atlas,ATLAS
SPARK-57528,Support nanosecond-precision timestamps in the `unix_timestamp` function,"h3. Background
Part of the SPARK-56822 umbrella. {{unix_timestamp(timestamp)}} (and the no-arg form)
returns the number of whole seconds since the Unix epoch as {{BIGINT}}. It currently accepts
{{TimestampType}}, {{DateType}} and strings, but not the new nanosecond-precision timestamp
types.

h3. Proposal
Allow {{unix_timestamp}} to accept nanosecond-precision timestamps
({{TIMESTAMP_LTZ(p)}} / {{TIMESTAMP_NTZ(p)}}, i.e. {{AnyTimestampNanoType}}) in its
timestamp-argument form. The result stays {{BIGINT}} seconds; sub-second digits are
truncated, consistent with current behavior.

* Value: {{Math.floorDiv(epochMicros, MICROS_PER_SECOND)}}, read from {{TimestampNanosVal}}.
* No overflow concern (result is seconds-granular).

{code:sql}
SELECT unix_timestamp(TIMESTAMP_LTZ '2008-12-25 15:30:00.123456789');
-- 1230219000
{code}

h3. Implementation notes
* Extend the input type check of the {{UnixTime}} base ({{UnixTimestamp}} / {{ToUnixTimestamp}})
  to include {{AnyTimestampNanoType}}.
* In the timestamp branch, read {{epochMicros}} from {{TimestampNanosVal}} instead of a plain
  {{Long}}.
* Interpreted + codegen paths.

h3. Out of scope
* The string-parsing overload {{unix_timestamp(str, fmt)}} producing nanosecond precision -
  tracked separately under Parsing/Formatting (P1).

h3. Acceptance criteria
* {{unix_timestamp}} accepts {{TIMESTAMP_LTZ(p)}} / {{TIMESTAMP_NTZ(p)}} and returns the
  correct whole-second {{BIGINT}}.
* Existing micros / date / string behavior unchanged.
* Unit tests + golden files added.

Parent: SPARK-56822",Sub-task,Major,Open,2026-06-18T08:42:56.000+0000,2026-06-18T08:42:56.000+0000,Not resolved,0,support nanosecond precision timestamps in the unix timestamp function h3 background part of the spark 56822 umbrella unix timestamp timestamp and the no arg form returns the number of whole seconds since the unix epoch as bigint it currently accepts timestamptype datetype and strings but not the new nanosecond precision timestamp types h3 proposal allow unix timestamp to accept nanosecond precision timestamps timestamp ltz p timestamp ntz p i e anytimestampnanotype in its timestamp argument form the result stays bigint seconds sub second digits are truncated consistent with current behavior value math floordiv epochmicros micros per second read from timestampnanosval no overflow concern result is seconds granular code sql select unix timestamp timestamp ltz 2008 12 25 15 30 00 123456789 1230219000 code h3 implementation notes extend the input type check of the unixtime base unixtimestamp tounixtimestamp to include anytimestampnanotype in the timestamp branch read epochmicros from timestampnanosval instead of a plain long interpreted codegen paths h3 out of scope the string parsing overload unix timestamp str fmt producing nanosecond precision tracked separately under parsing formatting p1 h3 acceptance criteria unix timestamp accepts timestamp ltz p timestamp ntz p and returns the correct whole second bigint existing micros date string behavior unchanged unit tests golden files added parent spark 56822 sub task major open spark,SPARK
SPARK-57527,Add the `unix_nanos` function returning nanoseconds since the epoch for timestamps,"h3. Background
Part of the SPARK-56822 umbrella. Spark has {{unix_seconds}}, {{unix_millis}} and
{{unix_micros}}, which return the number of [seconds/millis/micros] since the Unix epoch
for a timestamp. There is no nanosecond counterpart, which is the natural inverse of
{{timestamp_nanos}}.

h3. Proposal
Add a new built-in function {{unix_nanos(expr)}} that returns the number of nanoseconds
since {{1970-01-01 00:00:00 UTC}} for a timestamp value.

* Input: nanosecond-precision timestamps ({{AnyTimestampNanoType}}) and the microsecond
  {{TimestampType}} (micros-only inputs contribute {{0}} for the sub-micro part).
* Value: {{epochMicros * 1000 + nanosWithinMicro}}, read from {{TimestampNanosVal}}.

h3. Open question - return type
For the full timestamp calendar range ([0001..9999]), {{epochMicros * 1000}} overflows a
64-bit {{BIGINT}}. Options:
# Return {{DECIMAL(p,0)}} wide enough for the full range (recommended; lossless).
# Return {{BIGINT}} and throw on overflow in ANSI mode / return null otherwise (matches
  {{unix_micros}} shape but limits the usable range to ~[1677..2262]).

Recommendation: return {{DECIMAL}} to stay lossless across the supported range.

{code:sql}
SELECT unix_nanos(TIMESTAMP_LTZ '2008-12-25 15:30:00.123456789');
-- 1230219000123456789
{code}

h3. Implementation notes
* Mirror {{UnixMicros}} in {{datetimeExpressions.scala}}; add {{AnyTimestampNanoType}} to the
  accepted input types.
* Read the value from {{TimestampNanosVal}} (epochMicros + nanosWithinMicro).
* Interpreted + codegen paths; register in {{FunctionRegistry}}.

h3. Acceptance criteria
* {{unix_nanos}} available across SQL/Scala/Python/R.
* Round-trips with {{timestamp_nanos}} for in-range values.
* Return-type / overflow decision documented and tested.
* Unit tests + golden files added.

Parent: SPARK-56822",Sub-task,Major,Open,2026-06-18T08:41:47.000+0000,2026-06-18T08:41:59.000+0000,Not resolved,0,add the unix nanos function returning nanoseconds since the epoch for timestamps h3 background part of the spark 56822 umbrella spark has unix seconds unix millis and unix micros which return the number of seconds millis micros since the unix epoch for a timestamp there is no nanosecond counterpart which is the natural inverse of timestamp nanos h3 proposal add a new built in function unix nanos expr that returns the number of nanoseconds since 1970 01 01 00 00 00 utc for a timestamp value input nanosecond precision timestamps anytimestampnanotype and the microsecond timestamptype micros only inputs contribute 0 for the sub micro part value epochmicros 1000 nanoswithinmicro read from timestampnanosval h3 open question return type for the full timestamp calendar range 0001 9999 epochmicros 1000 overflows a 64 bit bigint options return decimal p 0 wide enough for the full range recommended lossless return bigint and throw on overflow in ansi mode return null otherwise matches unix micros shape but limits the usable range to 1677 2262 recommendation return decimal to stay lossless across the supported range code sql select unix nanos timestamp ltz 2008 12 25 15 30 00 123456789 1230219000123456789 code h3 implementation notes mirror unixmicros in datetimeexpressions scala add anytimestampnanotype to the accepted input types read the value from timestampnanosval epochmicros nanoswithinmicro interpreted codegen paths register in functionregistry h3 acceptance criteria unix nanos available across sql scala python r round trips with timestamp nanos for in range values return type overflow decision documented and tested unit tests golden files added parent spark 56822 sub task major open spark,SPARK
SPARK-57526,Add the `timestamp_nanos` function to create nanosecond-precision timestamps from numeric nanoseconds,"h3. Background
Part of the SPARK-56822 umbrella (nanosecond-precision timestamps). Spark already has
{{timestamp_seconds}}, {{timestamp_millis}} and {{timestamp_micros}}, which build a
{{TIMESTAMP}} (LTZ, microsecond precision) from a numeric count since the Unix epoch.
There is no counterpart that produces a nanosecond-precision value.

h3. Proposal
Add a new built-in function {{timestamp_nanos(expr)}} that interprets {{expr}} as the
number of nanoseconds since {{1970-01-01 00:00:00 UTC}} and returns a {{TIMESTAMP_LTZ(9)}}
({{TimestampLTZNanosType(9)}}).

* Input: integral numeric ({{BIGINT}}).
* Output type: {{TIMESTAMP_LTZ(9)}}.
* Mapping to the internal pair: {{epochMicros = Math.floorDiv(n, 1000)}},
  {{nanosWithinMicro = Math.floorMod(n, 1000)}}, built via
  {{TimestampNanosVal.fromParts(epochMicros, nanosWithinMicro)}}.

{code:sql}
SELECT timestamp_nanos(1230219000123456789);
-- 2008-12-25 15:30:00.123456789
{code}

h3. Implementation notes
* Mirror the existing {{SecondsToTimestamp}} / {{MicrosToTimestamp}} expressions in
  {{datetimeExpressions.scala}}.
* Reuse {{TimestampNanosVal.fromParts}} and {{NANOS_PER_MICROS}} from {{DateTimeUtils}}.
* Register in {{FunctionRegistry}} and add to the SQL function docs/examples.
* Provide both interpreted and codegen paths.

h3. Acceptance criteria
* {{timestamp_nanos}} available in SQL, Scala, Python and R function APIs.
* Returns {{TIMESTAMP_LTZ(9)}}; sub-microsecond digits preserved.
* Null-safe; handles negative (pre-epoch) inputs via floor semantics.
* Unit tests + golden files (result, type, codegen) added.

h3. Out of scope
* The inverse {{unix_nanos}} function (separate sub-task).

Parent: SPARK-56822",Sub-task,Major,Open,2026-06-18T08:40:09.000+0000,2026-06-18T08:40:09.000+0000,Not resolved,0,add the timestamp nanos function to create nanosecond precision timestamps from numeric nanoseconds h3 background part of the spark 56822 umbrella nanosecond precision timestamps spark already has timestamp seconds timestamp millis and timestamp micros which build a timestamp ltz microsecond precision from a numeric count since the unix epoch there is no counterpart that produces a nanosecond precision value h3 proposal add a new built in function timestamp nanos expr that interprets expr as the number of nanoseconds since 1970 01 01 00 00 00 utc and returns a timestamp ltz 9 timestampltznanostype 9 input integral numeric bigint output type timestamp ltz 9 mapping to the internal pair epochmicros math floordiv n 1000 nanoswithinmicro math floormod n 1000 built via timestampnanosval fromparts epochmicros nanoswithinmicro code sql select timestamp nanos 1230219000123456789 2008 12 25 15 30 00 123456789 code h3 implementation notes mirror the existing secondstotimestamp microstotimestamp expressions in datetimeexpressions scala reuse timestampnanosval fromparts and nanos per micros from datetimeutils register in functionregistry and add to the sql function docs examples provide both interpreted and codegen paths h3 acceptance criteria timestamp nanos available in sql scala python and r function apis returns timestamp ltz 9 sub microsecond digits preserved null safe handles negative pre epoch inputs via floor semantics unit tests golden files result type codegen added h3 out of scope the inverse unix nanos function separate sub task parent spark 56822 sub task major open spark,SPARK
IGNITE-28797,Update Java version for documentation code snippets to 17,"The documentation code snippets module still configures the Maven compiler with Java 8:

<source>1.8</source>
<target>1.8</target>

The main Ignite codebase has already moved to Java 17 under IGNITE-28772. The snippets module should use the same Java baseline to ensure documentation examples are validated against the currently supported Java version.

Replace the outdated source/target configuration with:

<source>17</source>
<target>17</target>

Verify that the documentation code snippets compile successfully.",Improvement,Major,Open,2026-06-18T08:39:41.000+0000,2026-06-18T08:39:41.000+0000,Not resolved,0,update java version for documentation code snippets to 17 the documentation code snippets module still configures the maven compiler with java 8 source 1 8 source target 1 8 target the main ignite codebase has already moved to java 17 under ignite 28772 the snippets module should use the same java baseline to ensure documentation examples are validated against the currently supported java version replace the outdated source target configuration with source 17 source target 17 target verify that the documentation code snippets compile successfully improvement major open ignite,IGNITE
JCRVLT-847,"Defer spotless execution to ""verify"" phase",See https://issues.apache.org/jira/browse/SLING-13240,Improvement,Major,Open,2026-06-18T08:19:08.000+0000,2026-06-18T08:29:44.000+0000,Not resolved,0,defer spotless execution to verify phase see url improvement major open jcrvlt,JCRVLT
SPARK-57525,Declarative Pipelines should not throw NoSuchElementException when a run fails without an attached cause,,Bug,Major,Open,2026-06-18T08:11:37.000+0000,2026-06-18T08:11:56.000+0000,Not resolved,2,declarative pipelines should not throw nosuchelementexception when a run fails without an attached cause bug major open spark,SPARK
SLING-13242,Parent: Remove unnecessary m2e section in POM,"There is some m2e specific configuration in the parent pom: https://github.com/apache/sling-parent/blob/71b2d04353ea811fd23b4a2f6797177ce832da49/sling-parent/pom.xml#L727

This should no longer be necessary due to https://github.com/eclipse-m2e/m2e-core/blob/main/RELEASE_NOTES.md#mojos-without-a-mapping-are-now-executed-by-default-in-incremental-builds.
The IDE executes plugins mapped to phases prior ""compile"" now automatically which works fine in most cases.
",Improvement,Major,Resolved,2026-06-18T08:06:52.000+0000,2026-06-18T08:15:55.000+0000,2026-06-18T08:15:55.000+0000,0,parent remove unnecessary m2e section in pom there is some m2e specific configuration in the parent pom url this should no longer be necessary due to url the ide executes plugins mapped to phases prior compile now automatically which works fine in most cases improvement major resolved sling,SLING
